i,j,sponsor,cosponsor,sponsor_id,cosponsor_id,count
3,27,AA(CO-R),MD(OH-R),29108,15020,0
3,28,AA(CO-R),ED(NC-R),29108,40303,5
3,29,AA(CO-R),PD(NM-R),29108,14103,10
3,30,AA(CO-R),BD(ND-D),29108,14812,4
3,31,AA(CO-R),RD(IL-D),29108,15021,5
3,32,AA(CO-R),JE(NC-D),29108,49902,0
3,33,AA(CO-R),JE(NV-R),29108,29537,0
3,34,AA(CO-R),ME(WY-R),29108,49706,5
3,35,AA(CO-R),RF(WI-D),29108,49309,15
3,36,AA(CO-R),DF(CA-D),29108,49300,0
3,37,AA(CO-R),PF(IL-R),29108,49900,0
3,38,AA(CO-R),LG(SC-R),29108,29566,0
3,39,AA(CO-R),CG(IA-R),29108,14226,0
3,40,AA(CO-R),CH(NE-R),29108,49704,10
3,41,AA(CO-R),TH(IA-D),29108,14230,0
3,42,AA(CO-R),OH(UT-R),29108,14503,0
3,43,AA(CO-R),KH(TX-R),29108,49306,5
3,44,AA(CO-R),JI(OK-R),29108,15424,0
3,45,AA(CO-R),JJ(VT-I),29108,94240,0
3,46,AA(CO-R),TJ(SD-D),29108,15425,0
3,47,AA(CO-R),EK(MA-D),29108,10808,0
3,48,AA(CO-R),HK(WI-D),29108,15703,5
3,49,AA(CO-R),JK(AZ-R),29108,15429,0
3,50,AA(CO-R),ML(LA-D),29108,49702,5
3,51,AA(CO-R),FL(NJ-D),29108,14914,0
3,52,AA(CO-R),CL(MI-D),29108,14709,5
3,53,AA(CO-R),JL(CT-D),29108,15704,0
3,54,AA(CO-R),BL(AR-D),29108,29305,0
3,55,AA(CO-R),TL(MS-R),29108,14031,0
3,56,AA(CO-R),JM(AZ-R),29108,15039,0
3,57,AA(CO-R),BM(MD-D),29108,14440,0
3,58,AA(CO-R),ZM(GA-D),29108,49904,0
3,59,AA(CO-R),LM(AK-R),29108,40300,5
3,60,AA(CO-R),PM(WA-D),29108,49308,0
3,61,AA(CO-R),BN(FL-D),29108,14651,0
3,62,AA(CO-R),EN(NE-D),29108,40103,5
3,63,AA(CO-R),DN(OK-R),29108,14908,0
3,64,AA(CO-R),MP(AR-D),29108,40301,0
3,65,AA(CO-R),PR(KS-R),29108,14852,5
3,66,AA(CO-R),RS(PA-R),29108,29141,5
3,67,AA(CO-R),PS(MD-D),29108,13039,0
3,68,AA(CO-R),CS(NY-D),29108,14858,0
3,69,AA(CO-R),JS(AL-R),29108,49700,5
3,70,AA(CO-R),RS(AL-R),29108,94659,0
3,71,AA(CO-R),GS(OR-R),29108,49705,5
3,72,AA(CO-R),OS(ME-R),29108,14661,0
3,73,AA(CO-R),DS(MI-D),29108,29732,0
3,74,AA(CO-R),TS(AK-R),29108,12109,0
3,75,AA(CO-R),JS(NH-R),29108,29740,0
3,76,AA(CO-R),JT(MO-R),29108,29369,0
3,77,AA(CO-R),CT(WY-R),29108,15633,5
3,78,AA(CO-R),JW(VA-R),29108,14712,0
3,79,AA(CO-R),RW(OR-D),29108,14871,5
3,80,AA(CO-R),RB(UT-R),29108,49307,0
3,81,AA(CO-R),BC(CO-R),29108,95407,20
3,82,AA(CO-R),LC(ID-R),29108,14809,5
3,83,AA(CO-R),JG(NH-R),29108,14826,0
3,84,AA(CO-R),RL(IN-R),29108,14506,0
3,85,AA(CO-R),AS(PA-R),29108,14910,0
3,86,AA(CO-R),GV(OH-R),29108,49903,0
3,87,AA(CO-R),MB(MT-D),29108,14203,0
3,88,AA(CO-R),JB(LA-D),29108,13056,0
3,89,AA(CO-R),CD(CT-D),29108,14213,0
3,90,AA(CO-R),BG(FL-D),29108,15503,0
3,91,AA(CO-R),EH(SC-D),29108,11204,0
3,92,AA(CO-R),JK(MA-D),29108,14920,0
3,93,AA(CO-R),PL(VT-D),29108,14307,0
3,94,AA(CO-R),JR(WV-D),29108,14922,0
3,95,AA(CO-R),BF(TN-R),29108,49502,0
3,96,AA(CO-R),MM(KY-R),29108,14921,0
3,97,AA(CO-R),TD(SD-D),29108,14617,0
3,98,AA(CO-R),HR(NV-D),29108,15054,0
3,99,AA(CO-R),DI(HI-D),29108,4812,1
3,100,AA(CO-R),JR(RI-D),29108,29142,0
4,1,GA(VA-R),DA(HI-D),29148,14400,5
4,2,GA(VA-R),LA(TN-R),29148,40304,0
4,3,GA(VA-R),AA(CO-R),29148,29108,0
4,5,GA(VA-R),EB(IN-D),29148,49901,0
4,6,GA(VA-R),JB(DE-D),29148,14101,0
4,7,GA(VA-R),JB(NM-D),29148,14912,0
4,8,GA(VA-R),CB(MO-R),29148,15501,5
4,9,GA(VA-R),BB(CA-D),29148,15011,0
4,10,GA(VA-R),SB(KS-R),29148,29523,0
4,11,GA(VA-R),JB(KY-R),29148,15406,0
4,12,GA(VA-R),CB(MT-R),29148,15701,5
4,13,GA(VA-R),RB(WV-D),29148,1366,0
4,14,GA(VA-R),MC(WA-D),29148,39310,0
4,15,GA(VA-R),TC(DE-D),29148,15015,0
4,16,GA(VA-R),LC(RI-R),29148,49905,5
4,17,GA(VA-R),SC(GA-R),29148,29512,12
4,18,GA(VA-R),HC(NY-D),29148,40105,5
4,19,GA(VA-R),TC(MS-R),29148,14009,0
4,20,GA(VA-R),NC(MN-R),29148,40302,0
4,21,GA(VA-R),SC(ME-R),29148,49703,15
4,22,GA(VA-R),KC(ND-D),29148,15502,0
4,23,GA(VA-R),JC(TX-R),29148,40305,0
4,24,GA(VA-R),JC(NJ-D),29148,40104,0
4,25,GA(VA-R),MC(ID-R),29148,29345,5
4,26,GA(VA-R),MD(MN-D),29148,40101,0
4,27,GA(VA-R),MD(OH-R),29148,15020,0
4,28,GA(VA-R),ED(NC-R),29148,40303,10
4,29,GA(VA-R),PD(NM-R),29148,14103,0
4,30,GA(VA-R),BD(ND-D),29148,14812,0
4,31,GA(VA-R),RD(IL-D),29148,15021,15
4,32,GA(VA-R),JE(NC-D),29148,49902,10
4,33,GA(VA-R),JE(NV-R),29148,29537,0
4,34,GA(VA-R),ME(WY-R),29148,49706,0
4,35,GA(VA-R),RF(WI-D),29148,49309,5
4,36,GA(VA-R),DF(CA-D),29148,49300,0
4,37,GA(VA-R),PF(IL-R),29148,49900,0
4,38,GA(VA-R),LG(SC-R),29148,29566,10
4,39,GA(VA-R),CG(IA-R),29148,14226,0
4,40,GA(VA-R),CH(NE-R),29148,49704,0
4,41,GA(VA-R),TH(IA-D),29148,14230,0
4,42,GA(VA-R),OH(UT-R),29148,14503,0
4,43,GA(VA-R),KH(TX-R),29148,49306,5
4,44,GA(VA-R),JI(OK-R),29148,15424,2
4,45,GA(VA-R),JJ(VT-I),29148,94240,0
4,46,GA(VA-R),TJ(SD-D),29148,15425,5
4,47,GA(VA-R),EK(MA-D),29148,10808,0
4,48,GA(VA-R),HK(WI-D),29148,15703,0
4,49,GA(VA-R),JK(AZ-R),29148,15429,0
4,50,GA(VA-R),ML(LA-D),29148,49702,7
4,51,GA(VA-R),FL(NJ-D),29148,14914,0
4,52,GA(VA-R),CL(MI-D),29148,14709,0
4,53,GA(VA-R),JL(CT-D),29148,15704,0
4,54,GA(VA-R),BL(AR-D),29148,29305,0
4,55,GA(VA-R),TL(MS-R),29148,14031,0
4,56,GA(VA-R),JM(AZ-R),29148,15039,5
4,57,GA(VA-R),BM(MD-D),29148,14440,0
4,58,GA(VA-R),ZM(GA-D),29148,49904,15
4,59,GA(VA-R),LM(AK-R),29148,40300,0
4,60,GA(VA-R),PM(WA-D),29148,49308,5
4,61,GA(VA-R),BN(FL-D),29148,14651,5
4,62,GA(VA-R),EN(NE-D),29148,40103,0
4,63,GA(VA-R),DN(OK-R),29148,14908,0
4,64,GA(VA-R),MP(AR-D),29148,40301,0
4,65,GA(VA-R),PR(KS-R),29148,14852,0
4,66,GA(VA-R),RS(PA-R),29148,29141,0
4,67,GA(VA-R),PS(MD-D),29148,13039,0
4,68,GA(VA-R),CS(NY-D),29148,14858,0
4,69,GA(VA-R),JS(AL-R),29148,49700,0
4,70,GA(VA-R),RS(AL-R),29148,94659,0
4,71,GA(VA-R),GS(OR-R),29148,49705,0
4,72,GA(VA-R),OS(ME-R),29148,14661,10
4,73,GA(VA-R),DS(MI-D),29148,29732,0
4,74,GA(VA-R),TS(AK-R),29148,12109,10
4,75,GA(VA-R),JS(NH-R),29148,29740,0
4,76,GA(VA-R),JT(MO-R),29148,29369,2
4,77,GA(VA-R),CT(WY-R),29148,15633,0
4,78,GA(VA-R),JW(VA-R),29148,14712,40
4,79,GA(VA-R),RW(OR-D),29148,14871,0
4,80,GA(VA-R),RB(UT-R),29148,49307,0
4,81,GA(VA-R),BC(CO-R),29148,95407,0
4,82,GA(VA-R),LC(ID-R),29148,14809,5
4,83,GA(VA-R),JG(NH-R),29148,14826,5
4,84,GA(VA-R),RL(IN-R),29148,14506,0
4,85,GA(VA-R),AS(PA-R),29148,14910,0
4,86,GA(VA-R),GV(OH-R),29148,49903,5
4,87,GA(VA-R),MB(MT-D),29148,14203,0
4,88,GA(VA-R),JB(LA-D),29148,13056,5
4,89,GA(VA-R),CD(CT-D),29148,14213,5
4,90,GA(VA-R),BG(FL-D),29148,15503,0
4,91,GA(VA-R),EH(SC-D),29148,11204,5
4,92,GA(VA-R),JK(MA-D),29148,14920,0
4,93,GA(VA-R),PL(VT-D),29148,14307,0
4,94,GA(VA-R),JR(WV-D),29148,14922,5
4,95,GA(VA-R),BF(TN-R),29148,49502,0
4,96,GA(VA-R),MM(KY-R),29148,14921,0
4,97,GA(VA-R),TD(SD-D),29148,14617,0
4,98,GA(VA-R),HR(NV-D),29148,15054,0
4,99,GA(VA-R),DI(HI-D),29148,4812,0
4,100,GA(VA-R),JR(RI-D),29148,29142,0
5,1,EB(IN-D),DA(HI-D),49901,14400,0
5,2,EB(IN-D),LA(TN-R),49901,40304,0
5,3,EB(IN-D),AA(CO-R),49901,29108,0
5,4,EB(IN-D),GA(VA-R),49901,29148,0
5,6,EB(IN-D),JB(DE-D),49901,14101,0
5,7,EB(IN-D),JB(NM-D),49901,14912,5
5,8,EB(IN-D),CB(MO-R),49901,15501,5
5,9,EB(IN-D),BB(CA-D),49901,15011,0
5,10,EB(IN-D),SB(KS-R),49901,29523,0
5,11,EB(IN-D),JB(KY-R),49901,15406,5
5,12,EB(IN-D),CB(MT-R),49901,15701,0
5,13,EB(IN-D),RB(WV-D),49901,1366,0
5,14,EB(IN-D),MC(WA-D),49901,39310,0
5,15,EB(IN-D),TC(DE-D),49901,15015,0
5,16,EB(IN-D),LC(RI-R),49901,49905,0
5,17,EB(IN-D),SC(GA-R),49901,29512,0
5,18,EB(IN-D),HC(NY-D),49901,40105,5
5,19,EB(IN-D),TC(MS-R),49901,14009,0
5,20,EB(IN-D),NC(MN-R),49901,40302,0
5,21,EB(IN-D),SC(ME-R),49901,49703,0
5,22,EB(IN-D),KC(ND-D),49901,15502,0
5,23,EB(IN-D),JC(TX-R),49901,40305,0
5,24,EB(IN-D),JC(NJ-D),49901,40104,0
5,25,EB(IN-D),MC(ID-R),49901,29345,0
5,26,EB(IN-D),MD(MN-D),49901,40101,0
5,27,EB(IN-D),MD(OH-R),49901,15020,0
5,28,EB(IN-D),ED(NC-R),49901,40303,0
5,29,EB(IN-D),PD(NM-R),49901,14103,5
5,30,EB(IN-D),BD(ND-D),49901,14812,0
5,31,EB(IN-D),RD(IL-D),49901,15021,0
5,32,EB(IN-D),JE(NC-D),49901,49902,0
5,33,EB(IN-D),JE(NV-R),49901,29537,0
5,34,EB(IN-D),ME(WY-R),49901,49706,0
5,35,EB(IN-D),RF(WI-D),49901,49309,0
5,36,EB(IN-D),DF(CA-D),49901,49300,0
5,37,EB(IN-D),PF(IL-R),49901,49900,0
5,38,EB(IN-D),LG(SC-R),49901,29566,0
5,39,EB(IN-D),CG(IA-R),49901,14226,0
5,40,EB(IN-D),CH(NE-R),49901,49704,0
5,41,EB(IN-D),TH(IA-D),49901,14230,0
5,42,EB(IN-D),OH(UT-R),49901,14503,0
5,43,EB(IN-D),KH(TX-R),49901,49306,0
5,44,EB(IN-D),JI(OK-R),49901,15424,0
5,45,EB(IN-D),JJ(VT-I),49901,94240,0
5,46,EB(IN-D),TJ(SD-D),49901,15425,0
5,47,EB(IN-D),EK(MA-D),49901,10808,0
5,48,EB(IN-D),HK(WI-D),49901,15703,0
5,49,EB(IN-D),JK(AZ-R),49901,15429,0
5,50,EB(IN-D),ML(LA-D),49901,49702,10
5,51,EB(IN-D),FL(NJ-D),49901,14914,0
5,52,EB(IN-D),CL(MI-D),49901,14709,5
5,53,EB(IN-D),JL(CT-D),49901,15704,10
5,54,EB(IN-D),BL(AR-D),49901,29305,0
5,55,EB(IN-D),TL(MS-R),49901,14031,0
5,56,EB(IN-D),JM(AZ-R),49901,15039,0
5,57,EB(IN-D),BM(MD-D),49901,14440,5
5,58,EB(IN-D),ZM(GA-D),49901,49904,5
5,59,EB(IN-D),LM(AK-R),49901,40300,0
5,60,EB(IN-D),PM(WA-D),49901,49308,0
5,61,EB(IN-D),BN(FL-D),49901,14651,0
5,62,EB(IN-D),EN(NE-D),49901,40103,0
5,63,EB(IN-D),DN(OK-R),49901,14908,0
5,64,EB(IN-D),MP(AR-D),49901,40301,0
5,65,EB(IN-D),PR(KS-R),49901,14852,0
5,66,EB(IN-D),RS(PA-R),49901,29141,5
5,67,EB(IN-D),PS(MD-D),49901,13039,5
5,68,EB(IN-D),CS(NY-D),49901,14858,5
5,69,EB(IN-D),JS(AL-R),49901,49700,0
5,70,EB(IN-D),RS(AL-R),49901,94659,0
5,71,EB(IN-D),GS(OR-R),49901,49705,0
5,72,EB(IN-D),OS(ME-R),49901,14661,0
5,73,EB(IN-D),DS(MI-D),49901,29732,0
5,74,EB(IN-D),TS(AK-R),49901,12109,0
5,75,EB(IN-D),JS(NH-R),49901,29740,0
5,76,EB(IN-D),JT(MO-R),49901,29369,0
5,77,EB(IN-D),CT(WY-R),49901,15633,0
5,78,EB(IN-D),JW(VA-R),49901,14712,0
5,79,EB(IN-D),RW(OR-D),49901,14871,0
5,80,EB(IN-D),RB(UT-R),49901,49307,0
5,81,EB(IN-D),BC(CO-R),49901,95407,0
5,82,EB(IN-D),LC(ID-R),49901,14809,0
5,83,EB(IN-D),JG(NH-R),49901,14826,0
5,84,EB(IN-D),RL(IN-R),49901,14506,5
5,85,EB(IN-D),AS(PA-R),49901,14910,0
5,86,EB(IN-D),GV(OH-R),49901,49903,0
5,87,EB(IN-D),MB(MT-D),49901,14203,5
5,88,EB(IN-D),JB(LA-D),49901,13056,0
5,89,EB(IN-D),CD(CT-D),49901,14213,0
5,90,EB(IN-D),BG(FL-D),49901,15503,0
5,91,EB(IN-D),EH(SC-D),49901,11204,0
5,92,EB(IN-D),JK(MA-D),49901,14920,5
5,93,EB(IN-D),PL(VT-D),49901,14307,0
5,94,EB(IN-D),JR(WV-D),49901,14922,5
5,95,EB(IN-D),BF(TN-R),49901,49502,0
5,96,EB(IN-D),MM(KY-R),49901,14921,0
5,97,EB(IN-D),TD(SD-D),49901,14617,0
5,98,EB(IN-D),HR(NV-D),49901,15054,0
5,99,EB(IN-D),DI(HI-D),49901,4812,0
5,100,EB(IN-D),JR(RI-D),49901,29142,0
6,1,JB(DE-D),DA(HI-D),14101,14400,0
